artist,intro,highlights
Britney Spears,"Britney Jean Spears (born December 2, 1981) is an American singer. Often referred to as the ""Princess of Pop"", she is credited with influencing the revival of teen pop during the late 1990s and early 2000s. Spears has sold over 150 million records worldwide, including over 70 million in the United States, making her one of the world's best-selling music artists. She has earned numerous awards and accolades, including a Grammy Award, 15 Guinness world records, six MTV Video Music Awards, seven Billboard Music Awards (including the Millennium Award), the inaugural Radio Disney Icon Award, and a star on the Hollywood Walk of Fame. Her heavily choreographed videos earned her the Michael Jackson Video Vanguard Award.
After appearing in stage productions and television series, Spears signed with Jive Records in 1997 at age fifteen. Her first two studio albums, ...Baby One More Time (1999) and Oops!... I Did It Again (2000), are among the best-selling albums of all time and made Spears the best-selling teenage artist of all time. With first-week sales of over 1.3 million copies, Oops!... I Did It Again held the record for the fastest-selling album by a female artist in the United States for fifteen years. Spears adopted a more mature and provocative style for her albums Britney (2001) and In the Zone (2003), and starred in the 2002 film Crossroads. She was executive producer of her fifth studio album, Blackout (2007), often referred to as her best work. Following a series of highly publicized personal problems, promotion for the album was limited, and Spears was involuntarily placed in a conservatorship.
Subsequently, Spears released the chart-topping albums, Circus (2008) and Femme Fatale (2011), the latter of which became her most successful era of singles in the US charts. With ""3"" in 2009 and ""Hold It Against Me"" in 2011, Spears became the second artist after Mariah Carey in the Billboard Hot 100's history to debut at number one with two or more songs. She embarked on a four-year concert residency, Britney: Piece of Me, at Planet Hollywood Resort & Casino in Las Vegas to promote her next two albums Britney Jean (2013) and Glory (2016). In 2019, Spears's legal battle over her conservatorship became more publicized and led to the establishment of the #FreeBritney movement. In 2021, the conservatorship was terminated following her public testimony in which she accused her management team and family of abuse.In the United States, Spears is the fourth best-selling female album artist of the Nielsen SoundScan era, as well as the best-selling female album artist of the 2000s. She was ranked by Billboard as the eighth-biggest artist of the 2000s. Spears has had six number-one albums on the Billboard 200 and five number-one singles on the US Billboard Hot 100: ""...Baby One More Time"", ""Womanizer"", ""3"", ""Hold It Against Me"", and ""S&M (Remix)"". Other hit singles include ""Oops!... I Did It Again"", ""I'm a Slave 4 U"", and ""Toxic"". ""...Baby One More Time"" was named the greatest debut single of all time by Rolling Stone in 2020. In 2004, Spears launched a perfume brand with Elizabeth Arden, Inc.; sales exceeded $1.5 billion as of 2012. Forbes has reported Spears as the highest-earning female musician of 2001 and 2012. By 2012, she had topped Yahoo!'s list of most searched celebrities seven times in twelve years. Time named Spears one of the 100 most influential people in the world in 2021. Spears placed first in the Time reader poll.

","""Princess of Pop""; Sold over 150 million records worldwide; Holds numerous awards including a Grammy, 15 Guinness world records, six MTV Video Music Awards; Best-selling teenage artist of all time; Highest-earning female musician of 2001 and 2012."
Anne-Marie,"Anne-Marie Rose Nicholson (born 7 April 1991) is an English singer-songwriter. She has attained charting singles on the UK Singles Chart, including Clean Bandit's ""Rockabye"", which peaked at number one, as well as ""Alarm"", ""Ciao Adios"", ""Friends"", ""2002"", ""Don't Play"" and ""Kiss My (Uh-Oh)"". Her debut studio album, Speak Your Mind, was released in 2018 and peaked at number three on the UK Albums Chart. In 2021, she released her second studio album, Therapy followed by her third studio album, Unhealthy, in 2023. Both albums peaked at number two on the UK Albums Chart.
Anne-Marie was nominated for four awards at the 2019 Brit Awards, including Best British Female Solo Artist. To date she has been nominated for ten Brit Awards and has also received a nomination for a Billboard Music Award. In 2015, she signed a record deal with Asylum (a sub-label of Atlantic Records) and began releasing her work through the label. Anne-Marie began appearing as a coach on the television singing competition The Voice UK in 2021.

","English singer-songwriter; Charting singles on UK Singles Chart; Released three studio albums, peaked on UK Albums Chart; Nominated for four awards at 2019 Brit Awards; Coach on The Voice UK in 2021"
Ava Max,"Amanda Ava Koci (born Amanda Koçi; February 16, 1994), known professionally as Ava Max (), is an American pop singer and songwriter. She signed with Atlantic Records in 2016, through which she released her breakthrough single, ""Sweet but Psycho"", in August 2018. The song peaked at number one in 22 countries and reached number two and number 10 on the Australian ARIA Charts and US Billboard Hot 100, respectively. 
In March 2020, Max released the song, ""Kings & Queens"", which peaked at number 13 on the Billboard Hot 100 and at number 19 on the UK Singles Chart. It was followed by the release of her debut studio album, Heaven & Hell, in September 2020, which charted at number two on the UK Albums Chart and at number 27 on the US Billboard 200. In November 2020, the song ""My Head & My Heart"" was released, which peaked at number 45 on the Billboard Hot 100 and at number 18 on the UK Singles Chart. Max released her second studio album, Diamonds & Dancefloors, on January 27, 2023.","American pop singer-songwriter; Signed with Atlantic Records in 2016; Breakthrough single ""Sweet but Psycho"" reached number one in 22 countries; Debut album ""Heaven & Hell"" charted at number two on UK Albums Chart; Released second studio album ""Diamonds & Dancefloors"" in 2023."
Rita Ora,"Rita Sahatçiu Ora (Albanian: [ˈɾita sahatˈtʃiu ˈɔɾa]; born Rita Sahatçiu; 26 November 1990) is a British singer and songwriter. She rose to prominence in February 2012 when she featured on DJ Fresh's single, ""Hot Right Now"", which reached number one in the UK. Her debut studio album, Ora, released in August 2012, debuted at number one in the United Kingdom. The album contained the UK number-one singles, ""R.I.P."" and ""How We Do (Party)"". Ora was the artist with the most number-one singles on the UK Singles Chart in 2012, with three singles reaching the top position.Born in Pristina, modern-day Kosovo, Ora was named an Honorary Ambassador of Kosovo in 2015. Ora's second studio album, Phoenix, was released in November 2018. The lead single, ""Your Song"", reached the UK top ten, and the subsequent singles, ""Anywhere"" and ""Let You Love Me"", reached the top five in the UK. ""Let You Love Me"" made Ora the first British female solo artist to have thirteen top ten songs in the United Kingdom. She released her third studio album, You & I, in July 2023.

",British singer and songwriter; rose to prominence in 2012; multiple UK number-one singles; named Honorary Ambassador of Kosovo in 2015; holds record for most top ten songs by a British female solo artist.
Zara Larsson,"Zara Maria Larsson (Swedish: [ˈsɑ̂ːra ˈlɑ̌ːʂɔn] ; born 16 December 1997) is a Swedish pop singer. She rose to prominence in 2008, at the age of 10, after winning the second season of the television talent show Talang, the Swedish version of the Got Talent format. She has received recognition with singles including ""Lush Life"" (2015), ""Never Forget You"" (2015), ""Girls Like"" (2016) with Tinie Tempah, ""Ain't My Fault"" (2016), ""Symphony"" (2017) with Clean Bandit, and ""Ruin My Life"" (2018).
In 2012, Larsson signed with the record label TEN Music Group and subsequently released her debut extended play, Introducing, in January 2013. The EP was supported by Larsson's first original single, ""Uncover"", which topped the charts in Scandinavia and was certified 6x platinum in Sweden.Following her early success in Scandinavia with the release of her debut studio album, 1, in 2014, Larsson signed a three-year contract with Epic Records in the United States. In 2016, she performed at the opening and closing ceremonies for the association football championship UEFA Euro in France. Larsson's second studio album and first international album, So Good, was released in March 2017. Her third studio album, Poster Girl, was released in March 2021. Both albums saw Larsson attain international success.

","Swedish pop singer; rose to fame after winning Swedish version of Got Talent at age 10; notable singles include ""Lush Life"" and ""Never Forget You""; signed with TEN Music Group in 2012; released internationally successful albums ""So Good"" and ""Poster Girl""."
Halsey,"Halsey may refer to:

",Unable to extract information. The bio does not provide details about the musician.
Ariana Grande,"Ariana Grande-Butera ( AR-ee-AH-nə GRAHN-day byuu-TAIR-ə; born June 26, 1993) is an American singer, songwriter, and actress.  
An influential figure in contemporary popular music, and often regarded as a pop culture icon, she is noted for her four-octave vocal range and whistle register that has garnered critical acclaim. Grande has received numerous accolades throughout her career, including two Grammy Awards, one Brit Award, one Bambi Award, two Billboard Music Awards, three American Music Awards, nine MTV Video Music Awards, and 30 Guinness World Records.
Grande began her music career at age 15 in the 2008 Broadway musical 13. She rose to fame for playing Cat Valentine in the Nickelodeon television series Victorious (2010–2013) and Sam & Cat (2013–2014). Grande signed with Republic Records in 2011 after label executives viewed YouTube videos of her covering songs. Her 1950s doo-wop-influenced pop and R&B debut album, Yours Truly (2013), topped the US Billboard 200, while its lead single, ""The Way"", reached the top ten of the US Billboard Hot 100. Grande's voice and vocal performances on the album drew immediate comparisons to Mariah Carey.
Grande continued to explore pop and R&B in her second and third studio albums, My Everything (2014) and Dangerous Woman (2016). My Everything experimented with EDM and achieved global success with its singles ""Problem"", ""Break Free"" and ""Bang Bang"", while Dangerous Woman became her first of four consecutive number-one albums in the UK. Personal struggles influenced her trap-infused fourth and fifth studio albums, Sweetener (2018) and Thank U, Next (2019), both of which were critical and commercial successes. Sweetener won the Grammy Award for Best Pop Vocal Album, and Thank U, Next broke the record for the largest streaming week for a pop album and was nominated for Album of the Year. The singles ""Thank U, Next"", ""7 Rings"", and ""Break Up with Your Girlfriend, I'm Bored"" made Grande the first solo artist to hold the top three spots on the Hot 100 simultaneously and the first woman to succeed herself at the top of the UK Singles Chart. Her 2020 collaborations ""Stuck with U"" with Justin Bieber and ""Rain on Me"" with Lady Gaga helped her break the record for most number-one debuts on the Hot 100, the latter winning the Grammy Award for Best Pop Duo/Group Performance. Grande expanded on the trap genre with her sixth studio album, Positions (2020), which both the album and its title track debuted at number one in the UK and the US. Her collaborations with The Weeknd on the remixes of ""Save Your Tears"" and ""Die for You"" garnered her sixth and seventh US number-one singles, respectively.
Grande is one of the world's best-selling music artists, having sold over 90 million records globally and all her studio albums certified platinum or higher. She has broken a variety of records on the Billboard chart with her albums, songs and as an artist. Grande is the most streamed female artist of all time, the most streamed female artist of 2010s on Spotify and Apple Music, the most followed female artist on Spotify, and the most subscribed female solo artist on YouTube. Ten of Grande's songs and seven of her music videos reached 1 billion streams and views on Spotify and Vevo, respectively. Grande has been included on Time's annual list of the 100 most influential people in the world (2016 and 2019) and the Forbes Celebrity 100 (2019–2020). Grande was named Woman of the Year (2018), the greatest pop star of 2019, and the most successful female artist to debut in the 2010s by Billboard. Rolling Stone ranked her amongst the 200 Greatest Singers of All Time (2023). Besides music, Grande has worked with many charitable organizations and advocates for animal rights, mental health, and gender, racial, and LGBT equality. Grande has ventured into the cosmetics, fragrances and fashion industries. She also has a large social media following and was the most followed woman on Instagram in 2019 and has over 370 million followers as of 2023. Her fragrance line, which was released in 2015, exceeded $1 billion in sales through 2022.","American singer, songwriter, actress; Four-octave vocal range, whistle register; Two Grammy Awards, 30 Guinness World Records; Most streamed female artist of all time; Advocates for animal rights, mental health, gender, racial, and LGBT equality."
Harry Styles,"Harry Edward Styles (born 1 February 1994) is an English singer. His musical career began in 2010 as part of One Direction, a boy band formed on the British music competition series The X Factor. Each member of the band had been eliminated from the solo contest. They became one of the best-selling boy groups of all time before going on an indefinite hiatus in 2016.
Styles released his self-titled debut solo album through Columbia Records in 2017. It debuted at number one in the UK and the US and was one of the world's top-ten best-selling albums of the year, while its lead single, ""Sign of the Times"", topped the UK Singles Chart. Styles' second album, Fine Line (2019), debuted atop the US Billboard 200 with the biggest ever first-week sales by an English male artist, and was the most recent album to be included in Rolling Stone's ""500 Greatest Albums of All Time"" in 2020. Its fourth single, ""Watermelon Sugar"", topped the US Billboard Hot 100. Styles' third album, Harry's House (2022), broke several records and was widely acclaimed, receiving the Grammy Award for Album of the Year in 2023. Its lead single, ""As It Was"", became the number-one song of 2022 globally according to Billboard.
Styles has received various accolades, including six Brit Awards, three Grammy Awards, an Ivor Novello Award, and three American Music Awards. His film roles include Dunkirk (2017), Don't Worry Darling (2022), and My Policeman (2022). Aside from music and acting, Styles is known for his flamboyant fashion. He is the first man to appear solo on the cover of Vogue.","English singer; began career in boy band One Direction; successful solo career with multiple chart-topping albums and singles; received various awards including Brit Awards, Grammy Awards, Ivor Novello Award, and American Music Awards; acted in films such as Dunkirk and Don't Worry Darling; known for flamboyant fashion style and first man to appear solo on Vogue cover."
Shawn Mendes,"Shawn Peter Raul Mendes (, Portuguese: [ˈmẽdɨʃ]; born August 8, 1998) is a Canadian singer-songwriter. He gained a following in 2013, when he posted song covers on the video sharing platform Vine. The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label. Mendes' self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015. Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18. The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada.
Mendes' second album Illuminate (2016) also debuted at number one in the US, with its singles ""Treat You Better"" and ""There's Nothing Holdin' Me Back"" reaching the top 10 in several countries. His self-titled third studio album (2018) was supported by the lead single ""In My Blood"". The album's number one debut in the US made Mendes the third-youngest artist to achieve three number one albums. In 2019, he released the hit singles ""If I Can't Have You"" and ""Señorita"", with the latter peaking atop the US Billboard Hot 100. His fourth studio album, Wonder (2020), made him the youngest male artist ever to top the Billboard 200 with four studio albums.Among his accolades, Mendes has won 13 SOCAN awards, 10 MTV Europe Music Awards, eight Juno Awards, eight iHeartRadio MMVAs, two American Music Awards, and received three nominations for a Grammy Award and one nomination for a Brit Award. In 2018, Time named him one of the 100 most influential people in the world on their annual list.","Canadian singer-songwriter; Gained following through Vine in 2013; Has four studio albums, all debuted at number one in the US; Youngest male artist to top the Billboard 200 with four studio albums; Awards include 13 SOCAN awards, 10 MTV Europe Music Awards, eight Juno Awards, and three Grammy nominations."
Clean Bandit,"Clean Bandit are an English electronic music group, formed in Cambridge in 2008. They have had four number 1 hits and ten top 10 hits on the UK Singles Chart. They direct and produce their own music videos, many of which have been nominated for Brit Awards and VMAs, while two of them, ""Symphony"" and ""Rockabye"", each have over 1 billion views on YouTube, with Rockabye having reached over 2.7 billion views. The group currently consists of founder Grace Chatto and brothers Jack and Luke Patterson. Jack Patterson is the principal songwriter and has been awarded two Ivor Novellos for the writing of ""Rather Be"". Many of their projects are known for blending elements of both classical and dance music, and featuring guest vocalists. Notable collaborators include Marina, Demi Lovato, Jess Glynne, Anne-Marie, Sean Paul, Zara Larsson, Julia Michaels, Luis Fonsi, Ellie Goulding, Iann Dior, Mabel, and Lizzo.
The band released their debut single ""A+E"" in 2012, followed by their 2013 single ""Mozart's House"", the latter of which reached number 17 on the UK Singles Chart. In January 2014, they scored their first UK chart topping single with ""Rather Be"", a collaboration with Jess Glynne. The song also reached number 10 on the US Billboard Hot 100. In 2015, the song won the Grammy Award for Best Dance Recording. The band's debut album New Eyes was released in June 2014 and has received a gold certification from the BPI. Their 2016 single ""Rockabye"", which features Jamaican artist Sean Paul and singer Anne-Marie, became their second number one hit in the UK and the Christmas number one single for 2016. The song became an international chart topper for the band, additionally charting at number nine in the US. ""Symphony"" featuring Zara Larsson became their third UK number one single in 2017. Their second album, What Is Love?, was released in November 2018. As of 2016, Clean Bandit have sold over 13 million singles and 1.6 million albums worldwide.

",English electronic music group; Formed in Cambridge in 2008; Four number 1 hits on the UK Singles Chart; Blend elements of classical and dance music; Over 13 million singles and 1.6 million albums sold worldwide.
Doja Cat,"Amala Ratna Zandile Dlamini (Zulu: ['zandile 'ɮamini]; born October 21, 1995), known professionally as Doja Cat ( DOH-jə), is an American rapper and singer. Born and raised in Los Angeles, she began making and releasing music on SoundCloud as a teenager. Her song ""So High"" caught the attention of Kemosabe and RCA Records, with whom she signed a recording contract prior to the release of her debut extended play, Purrr! in 2014.
After a hiatus from releasing music and the uneventful rollout of her debut studio album, Amala (2018), Doja Cat earned viral success as an Internet meme with her 2018 single ""Mooo!"". Capitalizing on her growing popularity, she released her second studio album, Hot Pink, in the following year. The album later reached the top ten of the US Billboard 200 and spawned the single ""Say So"", of which the remix featuring Nicki Minaj topped the Billboard Hot 100. Her third studio album, Planet Her (2021), spent four weeks at number two on the Billboard 200 and spawned the top ten singles ""Kiss Me More"" (featuring SZA), ""Need to Know"", and ""Woman"". Her fourth studio album, Scarlet (2023), adopted a hip hop-oriented sound and peaked within the top five of the Billboard 200, while its lead single ""Paint the Town Red"" became her most successful song to date, as it marked her first solo number-one on the Hot 100 among eight other countries.
Described by The Wall Street Journal as ""a skilled technical rapper with a strong melodic sense and a bold visual presence"", Doja Cat is known for creating videos and performances which achieve virality on social media platforms such as TikTok. Well-versed in Internet culture, she is also famed for her absurdist online personality and stage presence. She has received numerous accolades throughout her career, including one Grammy Award from sixteen nominations, five Billboard Music Awards, five American Music Awards, and four MTV Video Music Awards. She is one of the biggest commercial artists of the 2020s according to Billboard, and was included on the 100 most influential people in the world by Time in 2023.

","American rapper and singer; started music career on SoundCloud as a teenager; created viral Internet meme with 2018 single ""Mooo!""; albums consistently top US Billboard 200; skilled technical rapper with a bold visual presence; won numerous awards including a Grammy, Billboard Music Awards, American Music Awards, and MTV Video Music Awards."
Adele,"Adele Laurie Blue Adkins  (; born 5 May 1988), known mononymously  as Adele, is an English singer-songwriter. She is known for her powerful mezzo-soprano vocals and songwriting. Adele has received numerous accolades including 16 Grammy Awards, an Academy Award, a Primetime Emmy Award, and a Golden Globe Award. 
After graduating in arts from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and included the UK top-five singles ""Chasing Pavements"" and ""Make You Feel My Love"". 19 has sold over 2.5 million copies in the UK and was named in the top 20 best-selling debut albums of all time in the UK. Adele was honoured with the Grammy Award for Best New Artist.
Adele released her second studio album, 21, in 2011. It became the world's best-selling album of the 21st century, with sales of over 31 million. 21 holds the record for the top-performing album in US chart history, topping the Billboard 200 for 24 weeks, with the singles ""Rolling in the Deep"", ""Someone like You"", and ""Set Fire to the Rain"" heading charts worldwide, becoming her signature songs. The album received a record-tying six Grammy Awards, including Album of the Year. In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won her the Academy Award for Best Original Song.
Adele's third studio album, 25, was released in 2015, breaking first-week sales records in the UK and US. In the US, it remains the only album to sell over three million copies in a week. 25 earned her five Grammy Awards, including the Album of the Year. The lead single, ""Hello"", achieved huge success worldwide. Her fourth studio album, 30, released in 2021, contains the chart-topping and Grammy-winning single ""Easy on Me"". 25 and 30 became the best-selling albums worldwide, including the US and the UK, in 2015 and 2021, respectively. As of 2023, all of her studio albums, except 19, have topped the yearly best-selling albums chart worldwide in the 21st century.
Adele is one of the world's best-selling music artists, with sales of over 120 million records worldwide. She was named the best-selling artist of the 2010s decade in the US and worldwide, as well as the best-selling female artist of the 21st century in the UK. Her studio albums, 21 and 25 are certified Diamond in the US, the most of any artist who debuted in the 21st century.

","English singer-songwriter; Known for powerful mezzo-soprano vocals and songwriting; 16 Grammy Awards, Academy Award, Primetime Emmy Award, and Golden Globe recipient; World's best-selling album of the 21st century ('21'); Sold over 120 million records worldwide."
Sam Smith,"Samuel Frederick Smith (born 19 May 1992) is an English singer and songwriter. In October 2012, they were featured on Disclosure's breakthrough single ""Latch"", which peaked at number eleven on the UK Singles Chart. They were featured on Naughty Boy's ""La La La"", which became a number one single in May 2013.
Smith's debut studio album, In the Lonely Hour, was released in May 2014 on Capitol Records UK. The album's lead single, ""Lay Me Down"", was released prior to ""La La La"". The album's second single, ""Money on My Mind"", became their second number one single in the UK. The third single, ""Stay with Me"", was internationally successful, reaching number one in the UK and number two on the US Billboard Hot 100, while subsequent singles ""I'm Not the Only One"" and ""Like I Can"" reached the top ten in the UK. The album won four awards, at the 57th Annual Grammy Awards, including Best Pop Vocal Album, Best New Artist, Record of the Year, Song of the Year, and nominations for Album of the Year and Best Pop Solo Performance.
For Smith's and Jimmy Napes's song ""Writing's on the Wall"", the theme for the James Bond film Spectre (2015), they won the Golden Globe Award and the Academy Award for Best Original Song. Smith's second studio album, The Thrill of It All, was released in November 2017 and debuted atop the UK and US album charts. The lead single, ""Too Good at Goodbyes"", reached number one in the UK and Australia and number four in the US. Following the 2018 single ""Promises"" with Calvin Harris, which peaked at number one in the UK, Smith released ""Dancing with a Stranger"" with Normani in 2019, which reached the top ten in the UK and the US and was nominated for Song of the Year at the 2020 Brit Awards; and later ""How Do You Sleep?"", all of which feature on their third album, Love Goes (2020). In 2022, Smith's single ""Unholy"" with Kim Petras, from Smith's fourth album Gloria (2023), became their first number one single in the US and won the Grammy Award for Best Pop Duo/Group Performance.Smith's achievements include five Grammy Awards, three Brit Awards, three Billboard Music Awards, and an American Music Award, as well as a Golden Globe and an Academy Award. Smith is the first openly non-binary musician to both release a song that reached No. 1 at the Billboard Hot 100 and to win a Grammy Award.

","English singer and songwriter; Featured on Disclosure's single ""Latch"" and Naughty Boy's number one single ""La La La""; Debut studio album ""In the Lonely Hour"" won four Grammy Awards; Second studio album ""The Thrill of It All"" topped UK and US album charts; First openly non-binary musician to release a song that reached No. 1 at the Billboard Hot 100 and to win a Grammy Award."
Hailee Steinfeld,"Hailee Steinfeld (born December 11, 1996) is an American actress and singer. She had her breakthrough with the western film True Grit (2010), which earned her various accolades, including nominations for an Academy Award and a BAFTA Award.
Following appearances in Ender's Game and Begin Again (both 2013), she gained wider recognition for her roles in the Pitch Perfect film series (2015–2017), the coming-of-age film The Edge of Seventeen (2016), which earned her a Golden Globe nomination, and the Transformers spin-off film Bumblebee (2018). Steinfeld has voiced multiple animated characters including Gwen Stacy / Spider-Woman in Spider-Man: Into the Spider-Verse (2018) and Spider-Man: Across the Spider-Verse (2023), and Vi in the Netflix series Arcane (2021–present). She has also portrayed Emily Dickinson in the Apple TV+ comedy-drama series Dickinson (2019–2021), and Kate Bishop in the Disney+ miniseries Hawkeye (2021). Steinfeld will reprise her voice acting role as Gwen Stacy in the upcoming animated films Spider-Man: Beyond the Spider-Verse and Spider-Woman.
Steinfeld gained recognition in music after performing ""Flashlight"" in Pitch Perfect 2 (2015). She signed with Republic Records soon after and released her debut single, ""Love Myself"", followed by her debut EP Haiz (2015). She went on to release a series of successful singles, including ""Starving"", ""Most Girls"" and ""Let Me Go"". In 2020, she released her second EP, Half Written Story.

","American actress and singer; Breakthrough role in ""True Grit""; Known for roles in ""Pitch Perfect"" series and ""The Edge of Seventeen""; Voiced characters in ""Spider-Man: Into the Spider-Verse"" and Netflix's ""Arcane""; Successful music career with singles like ""Starving"" and ""Most Girls""."
The Vamps,"Vamp most commonly refers to:

Vamp (shoe), the upper part of a shoe
Vamp (woman), a seductress or femme fatale; derived from ""vampire""
Vamp (music), a repeating musical figure or accompanimentVamp or vamps may also refer to:

",This input doesn't provide any specific bio or info about a single musician to be used to generate highlights. Please provide the detailed information of a specific musician.
Cher Lloyd,"Cher Lloyd (born 28 July 1993) is an English singer. She was the thirteenth contestant eliminated on the seventh series of the television talent show The X Factor in 2010. Following the show, Lloyd was signed to Syco Music in the United Kingdom and Epic Records in the United States. She released her debut studio album, Sticks and Stones, in 2011, which had two releases: its standard edition and a US version. The album peaked at number four on the UK Albums Chart, while the latter version debuted at number nine in the US Billboard 200. It included the successful singles ""Swagger Jagger"", which entered at number one on the UK Singles Chart, ""With Ur Love"", and ""Want U Back"". 
Lloyd released her second studio album, Sorry I'm Late, in 2014, preceded by the lead single, ""I Wish"". The album failed to match the success of its predecessor, peaking at number 21 on the UK Albums Chart and number 12 on the Billboard 200. After a collaboration with singer Demi Lovato on the single ""Really Don't Care"", Lloyd had a two-year absence from the music industry.
In July 2016, Lloyd released the single ""Activated"", which was described as a ""memo of Cher to her fans to say she is back and she is stronger than ever"". She released the singles ""None of My Business"" and ""M.I.A."" in 2018 and 2019, respectively.","English singer; Participated in The X Factor 7th series; Signed to Syco Music and Epic Records; Debut album ""Sticks and Stones"" peaked at number 4 on UK Albums Chart; Collaborated with Demi Lovato."
5 Seconds of Summer,"5 Seconds of Summer, often shortened to 5SOS, are  an Australian pop rock band from Sydney, New South Wales, formed in late 2011. The group consists of lead vocalist and rhythm guitarist Luke Hemmings, lead guitarist Michael Clifford, bassist Calum Hood, and drummer Ashton Irwin. Originally beginning their career as YouTube celebrities, they rose to international fame while touring with English-Irish boy band One Direction on their Take Me Home Tour. Since 2014, 5 Seconds of Summer have sold more than 10 million albums, sold over 2 million concert tickets worldwide, and have attained more than 7 billion streams of their songs on music streaming services, making them one of the most successful Australian musical acts in history.In early 2014, the band released ""She Looks So Perfect"" which topped the charts in four countries. Their self-titled debut album was released in 2014, peaking at number one in 11 countries. The band released their second album Sounds Good Feels Good in 2015, topping the charts in 8 countries. The band's third album Youngblood, released in 2018, was yet another commercial success and became their third number one album in their home country. In the US, 5 Seconds of Summer became the first Australian act to achieve three number one albums on the Billboard 200 album chart. They also became the first band (not vocal group) to have their first three full-length albums debut at the top in the US. The album's single, ""Youngblood"" is the fourth highest selling Australian single of the 2010s decade and is the eleventh best-selling single in Australian history, selling over five million adjusted copies worldwide within the first six months of its release. With the release of ""Youngblood"", 5 Seconds of Summer became the first Australian act in 13 years to top the ARIA year-end chart and remain the second longest stint at number one in ARIA chart history. In 2020, the band released their fourth studio album Calm. The album was a commercial success, receiving positive reviews from critics, charting in more than 25 countries on multiple charts, peaking in the 10 top on 17 charts and debuting atop the charts in 4 countries. With Calm earning the band their fourth consecutive number one in their home country, 5 Seconds of Summer became the second Australian band in history to have their first four full-length studio albums debut at number one on the ARIA albums chart.All singles from the band's four studio albums have charted in multiple countries, received multiple official sale certifications, and have been featured in numerous weekly and year-end charts, as well as making appearances on decade-end charts. The band has received numerous accolades and awards, including being honored with the prestigious APRA Outstanding International Achievement Award in 2019, being placed on Billboard's Top Artists of the 2010s chart, which lists the most popular and successful artists of the 2010-2019 decade and being credited in the exclusive APRA AMCOS 1,000,000,000 List in 2020. As of mid-2020, the band's estimated net worth is approximately US$81 million.","Australian pop rock band; rose to fame touring with One Direction; sold over 10 million albums worldwide; notable songs include ""She Looks So Perfect"" and ""Youngblood""; first Australian act to achieve three number one albums on Billboard 200"
Olly Murs,"Oliver Stanley ""Olly"" Murs (born 14 May 1984) is an English singer, songwriter, and television personality. He was a contestant on the sixth series of the television talent show The X Factor in 2009, which he finished as runner-up. Following the show, Murs was signed to RCA Records and Sony Music in the United Kingdom, and Columbia Records in the United States.
Prior to The X Factor, Murs was a Non-League footballer. In 2010, he released his self-titled debut album, which entered the UK Albums Chart at number two and was certified double platinum by the British Phonographic Industry (BPI). The album included the hit singles ""Please Don't Let Me Go"" and ""Thinking of Me"". The following year, Murs released his second album, In Case You Didn't Know, which entered the charts at number one and resulted in two number-one singles with ""Heart Skips a Beat"" and ""Dance with Me Tonight"". In 2012, he released his third album, Right Place Right Time, and released six singles from it; the first, ""Troublemaker"", was his fourth number one.
In 2014, Murs released the single ""Wrapped Up"" featuring Gym Class Heroes' Travie McCoy, which peaked at number three. This was the first single to be released from his fourth album Never Been Better, which entered the charts at number one. It was followed by a second single, ""Up"" featuring American singer Demi Lovato. In 2016, he released his fifth album, 24 Hrs, which debuted at number one on the UK Albums Chart, followed by his sixth album, You Know I Know, in 2018. After splitting with RCA Records, Murs released his seventh album, Marry Me, in 2022.
In 2011, it was announced that Murs would return to The X Factor to co-present its spin-off show The Xtra Factor with Caroline Flack. In 2015, it was announced that Murs would be reunited with Caroline Flack to replace Dermot O'Leary as co-presenters of The X Factor for series 12. From 2018 to 2023, he was a coach on The Voice UK. In 2022 and 2023, Murs presented Starstruck on ITV.","English singer, songwriter, and TV personality; Runner-up in The X Factor 2009; Multiple albums on UK Albums Chart, several number one singles; Former coach on The Voice UK; Currently presents Starstruck on ITV."
Mabel,"Mabel is an English female given name derived from the Latin amabilis, ""lovable, dear"".","Mabel is an English musician; Female artist; Name originates from Latin; Meaning of name is ""lovable, dear"""
