artist,intro,highlights
Kylie Minogue,"Kylie Ann Minogue  (; born 28 May 1968) is an Australian singer, songwriter and actress. Minogue is the highest-selling female Australian artist of all time, having sold over 80 million records worldwide. She has been recognised for reinventing herself in music as well as fashion, and is referred to by the European press as the ""Princess of Pop"" and a style icon. Her accolades include a Grammy Award, three Brit Awards and seventeen ARIA Music Awards.
Born and raised in Melbourne, Minogue first achieved recognition starring as Charlene Robinson in the Australian soap opera Neighbours (1986–1988). She began her music career in the late 1980s, releasing four bubblegum and dance-pop-influenced studio albums under PWL. By the early 1990s, Minogue had amassed several top ten singles in Australia and the UK, including ""The Loco-Motion"", ""I Should Be So Lucky"", ""Especially for You"", ""Hand on Your Heart"" and ""Better the Devil You Know"". Taking more creative control over her music, she signed with Deconstruction Records in 1993 and released the albums Kylie Minogue (1994) and Impossible Princess (1997).
By joining Parlophone in 1999, Minogue returned to mainstream dance-oriented music with Light Years (2000), including the number-one hits ""Spinning Around"" and ""On a Night Like This"". The follow-up, Fever (2001), was an international breakthrough for Minogue, becoming her best-selling album to date. Its lead single, ""Can't Get You Out of My Head"" becoming one of the most successful singles of the 2000s, selling over five million units. Follow up singles, ""In Your Eyes"" and ""Love at First Sight"" became hits as well. She continued reinventing her image and experimenting with a range of genres on her subsequent albums, which spawned successful singles such as ""Slow"", ""I Believe in You"", ""2 Hearts"" and ""All the Lovers"". In 2017, she partnered with BMG Rights Management, with ""Dancing"" (2018) as their first release. In the following years, Minogue became the only female artist to have a number-one album and a top ten single, from the 1980s to the 2020s in the UK charts, with Disco (2020) and ""Padam Padam"" (2023) respectively.
In film, Minogue made her debut in The Delinquents (1989), and appeared in Street Fighter (1994), Moulin Rouge! (2001), Holy Motors (2012) and San Andreas (2015). In reality television, she appeared as a judge on The Voice UK and The Voice Australia both in 2014. Her other ventures include product endorsements, books, perfumes, charitable work and a wine brand. Minogue's achievements include being an ARIA Hall of Fame inductee, Officer of the Order of Australia (AO), Officer of the Order of the British Empire, Chevalier (knight) of the Ordre des Arts et des Lettres and an honorary Doctor of Health Science (D.H.Sc.).

","Kylie Minogue is the highest-selling female Australian artist of all time; She is known for her constant reinvention in music and fashion, earning her the title ""Princess of Pop""; Minogue produced numerous top ten singles and albums from the 1980s to 2020s; She also had a successful acting career, including appearances in films and reality television; Protected her brand and expanded her career with endorsements, books, perfumes, charitable work, and a wine brand."
Iggy Azalea,"Amethyst Amelia Kelly (born 7 June 1990), known professionally as Iggy Azalea (), is an Australian rapper and model. Azalea's accolades include two American Music Awards, three Billboard Music Awards, an MTV Video Music Award, a People's Choice Award, four Teen Choice Awards and four Grammy Award nominations. Azalea is popular on video sites, her Youtube channel has accumulated 3.4 billion views, and 15 of her music videos have received over 100 million views on Vevo.
At the age of 16, Azalea moved to the United States in order to pursue a career in music. Azalea earned public recognition after releasing the music videos for her songs ""Pussy"" and ""Two Times"" on YouTube. Shortly after releasing those two songs, she released her debut mixtape, Ignorant Art (2011), and subsequently signed a recording contract with American rapper T.I.'s Grand Hustle label. Azalea's debut studio album, The New Classic (2014), peaked among the top five on several charts worldwide, but received mixed reviews from within the industry. The album eventually topped the Billboard Top R&B/Hip-Hop Albums, making Azalea the first non-American female rapper to reach the top of the chart. The New Classic was preceded by Azalea's debut single ""Work"" and chart-topping single ""Fancy"" (featuring Charli XCX), which hit the U.S. Billboard Hot 100. Azalea was featured on Ariana Grande's 2014 single ""Problem"", which peaked at number two behind ""Fancy"". With these hits, Azalea became the second musical act (aside from The Beatles) to rank at number one and number two simultaneously on the Hot 100 with their debut releases on the chart. In addition, she achieved three top ten hits simultaneously on the Hot 100 with the aforementioned songs and the album's fifth single, ""Black Widow"" (featuring Rita Ora), which debuted later that year.After her debut album, Azalea released a slew of singles to build anticipation for her intended second album, Digital Distortion. However, a series of conflicts with her label, as well as personal conflicts, resulted in the project being cancelled. Consequently, Azalea switched labels, releasing the EP Survive the Summer (2018) under Island Records. Further disagreements led to Azalea becoming an independent artist and creating her own label, Bad Dreams, through a distribution deal with Empire. Her second album, In My Defense, was released in 2019, followed by another EP, Wicked Lips, that same year, and a third studio album, The End of an Era, in 2021.","Australian rapper and model; Winner of multiple music awards and has four Grammy nominations; Accumulated billions of views on YouTube; First non-American female rapper to top the Billboard Top R&B/Hip-Hop Albums chart; Known for her hit singles ""Work"", ""Fancy"", and ""Black Widow""."
Halsey,"Halsey may refer to:

",The input provided does not contain a biography or any information about a musician named Halsey. Please provide a detailed biography or information about the musician.
Jessica Simpson,"Jessica Ann Simpson (born July 10, 1980) is an American singer and actress. After performing in church choirs as a child, Simpson signed with Columbia Records in 1997, aged seventeen. Her debut studio album, Sweet Kisses (1999), sold two million copies in the United States and saw the commercial success of the single ""I Wanna Love You Forever"". Simpson adopted a more mature image for her second studio album, Irresistible (2001), and its title track became her second top 20 entry on the Billboard Hot 100, while the album was certified gold by the Recording Industry Association of America (RIAA). In This Skin (2003), Simpson's third studio album, sold three million copies in the United States.
During her earlier career, Simpson became known for her relationship with and later marriage to Nick Lachey, with whom she also appeared on the MTV reality television series Newlyweds: Nick and Jessica (2003–2005). Following the release of her first Christmas album ReJoyce: The Christmas Album (2004), which was certified gold, Simpson made her film debut as Daisy Duke in The Dukes of Hazzard (2005). She also recorded a cover of ""These Boots Are Made for Walkin'"" for the film's soundtrack. In 2006, she released her fifth studio album, A Public Affair and appeared in the romantic comedy film Employee of the Month. With the release of her sixth studio album Do You Know (2008), she moved into the country music genre. Simpson has sold 20 million albums worldwide.Aside from her musical pursuits, Simpson launched The Jessica Simpson Collection in 2005, a fashion-focused line with 34 product categories. To date, the brand has earned over $1 billion in revenue and is the most successful celebrity licensing brand in history. She also starred in the reality television series The Price of Beauty in 2010 and judged clothing designs on two seasons of Fashion Star between 2012 and 2013.

","American singer and actress; successful commercial career with multiple Billboard Hot 100 entries and gold-certified albums; transitioned into country music genre with her sixth studio album; launched The Jessica Simpson Collection, a highly successful fashion-focused line; also pursued television career with appearances on reality shows and series."
Lindsay Lohan,"Lindsay Dee Lohan ( LOH-ən; born July 2, 1986) is an American actress, singer, and songwriter. Born in New York City and raised on Long Island, Lohan was signed to Ford Models at the age of three. Having appeared as a regular on the television soap opera Another World at age 10, her breakthrough came in the Walt Disney Pictures film The Parent Trap (1998). The film's success led to appearances in the television films Life-Size (2000) and Get a Clue (2002), and the big-screen productions Freaky Friday (2003) and Confessions of a Teenage Drama Queen (2004). Lohan's early work won her childhood stardom, while the teen comedy sleeper hit Mean Girls (2004) affirmed her status as a teen idol and established her as a Hollywood leading actress.
Lohan signed with Casablanca Records and released two studio albums, the platinum-certified Speak (2004) and gold-certified A Little More Personal (Raw) (2005). She also starred in the comedies Herbie: Fully Loaded (2005) and Just My Luck (2006). In order to showcase her range, Lohan began choosing roles in independent films such as A Prairie Home Companion and Bobby (both 2006) and Chapter 27 (2007). Her reported behavior during the filming of the dramedy Georgia Rule in 2006 marked the start of a series of personal struggles that would plague her life and career for most of the next decade. She became a fixture in the tabloid press for her frequent legal issues, court appearances  and stints in rehabilitation facilities. This period saw her lose several roles, negatively impacting her career and public image. In an attempt to return to acting, she appeared in Liz & Dick (2012) and The Canyons (2013), but were both met with negative reviews.
In 2013, under the guidance of Oprah Winfrey, Lohan filmed the docu-series Lindsay (2014), which depicted her returning to work. She subsequently made her stage debut in the London West End production of Speed-the-Plow (2014), starred in the second season of the comedy series Sick Note (2018), and served as a panelist in the first season of Masked Singer Australia (2019). Between 2016 and 2018, she  opened three beach clubs in Greece, which were the focus of the MTV reality television series Lindsay Lohan's Beach Club (2019). After signing a multi-picture deal with Netflix, Lohan starred in  the romantic comedy Falling for Christmas (2022).

","American actress, singer, songwriter; known for roles in hit films like ""The Parent Trap"", ""Freaky Friday"", ""Mean Girls""; signed to Casablanca Records, released two studio albums; had personal struggles which negatively impacted career; made a comeback with docu-series ""Lindsay"" and a multi-picture deal with Netflix."
Paramore,"Paramore is an American rock band from Franklin, Tennessee, formed in 2004. The band currently consists of lead vocalist Hayley Williams, guitarist Taylor York and drummer Zac Farro. Williams and Farro are founding members of the group, while York, a high school friend of the original lineup, joined in 2007. The band is signed to Fueled by Ramen, a subsidiary of Atlantic Records, both owned by Warner Music Group. Williams was separately signed to Atlantic as she was scouted when she was a teenager, and they were the only label to let her stay in the band instead of going solo, but Atlantic said the rest of the band had to sign to Fueled by Ramen. She is also the only member to appear on all six of Paramore's studio albums.The group released its debut album, All We Know Is Falling, in 2005, with the album reaching number four on the UK Rock Chart in 2009 and number thirty on Billboard's Heatseekers Chart in 2006.
The band's second album, Riot!, was released in 2007. Thanks to the success of the singles ""Misery Business"", ""Crushcrushcrush"", and ""That's What You Get"", Riot! was a mainstream success and was certified Platinum in the United States by the Recording Industry Association of America (RIAA). Paramore then received a Best New Artist nomination at the 2008 Grammy Awards. Their 2009 follow-up, Brand New Eyes, is the band's second-highest-charting album to date, landing at number two on the Billboard 200 with 175,000 first-week sales. It produced the top-forty single ""The Only Exception"" and went platinum in Ireland and the UK, as well as gold in the US, Canada, Australia, and New Zealand.Following the departure of Josh and Zac Farro in 2010, the band released their self-titled fourth album in 2013. It gave the band their first number one on the US Billboard 200 and was also the number one album in the United Kingdom, Ireland, Australia, New Zealand, Brazil, Argentina and Mexico. It included the singles ""Still Into You"" and ""Ain't It Fun"", with the latter winning the Grammy Award for Best Rock Song for Williams and York as songwriters, making it Paramore's first Grammy Award win. The band's lineup changed once again after this album cycle, with bassist Jeremy Davis leaving the band near the end of 2015 and former drummer Zac Farro rejoining the band in 2017. Their fifth and sixth studio albums, After Laughter and This Is Why, were released in May 2017 and February 2023, respectively, to critical acclaim.","American rock band formed in 2004, consisting of Hayley Williams, Taylor York, and Zac Farro; Signed to Fueled by Ramen under Warner Music Group; Released six studio albums with successful hits such as ""Misery Business"", ""Crushcrushcrush"", and ""Ain't It Fun""; Nominated for Best New Artist at the 2008 Grammy Awards and won the Grammy Award for Best Rock Song in 2013; Underwent multiple lineup changes with Williams being the only consistent member."
Demi Lovato,"Demetria Devonne ""Demi""  Lovato ( DEM-ee lə-VAH-toh; born August 20, 1992) is an American singer, songwriter, and actress. After appearing on the children's television series Barney & Friends (2002–2004), she rose to prominence for playing Mitchie Torres in the musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010). The former film's soundtrack contained ""This Is Me"", her debut single and duet, which peaked at number nine on the U.S. Billboard Hot 100.
After signing with Hollywood Records, Lovato released her pop rock debut album, Don't Forget (2008), which debuted at number two on the U.S. Billboard 200. Its follow-up, Here We Go Again (2009), debuted at number one in the U.S., while its title track reached number 15 on the Hot 100. Her third studio album, Unbroken (2011), experimented with pop and R&B and spawned the U.S. platinum-certified single ""Skyscraper"". She released her eponymous fourth album in 2013, which debuted at number three on the Billboard 200, and contained the top-ten international song ""Heart Attack"". Lovato's fifth and sixth albums, Confident (2015) and Tell Me You Love Me (2017), infused soul and mature themes. She earned a Grammy Award nomination for Confident, while ""Sorry Not Sorry"", the lead single from Tell Me You Love Me, became her highest-charting single in the U.S., reaching number six. After a hiatus, she released her seventh and eighth albums Dancing with the Devil... the Art of Starting Over (2021) and Holy Fvck (2022), which reached number two and number seven in the U.S., respectively.
On television, Lovato has starred as the titular character on the sitcom Sonny with a Chance (2009–2011), served as a judge on the music competition series The X Factor USA for its second and third seasons, and appeared as a recurring character on the musical comedy Glee (2013–2014) and the sitcom Will & Grace (2020). She also starred in the television drama film Princess Protection Program (2009), the animated comedy film Smurfs: The Lost Village (2017), and the musical comedy Eurovision Song Contest: The Story of Fire Saga (2020).
Lovato has sold over 24 million records in the United States and has also received numerous accolades, including an MTV Video Music Award, 14 Teen Choice Awards, five People's Choice Awards, two Latin American Music Awards, a Guinness World Record, and was included on the Time 100 annual list in 2017. An activist for several social causes, Lovato's struggles with an eating disorder and substance abuse have received considerable media attention, in response to which she published the self-help memoir Staying Strong: 365 Days a Year (2013) and released the documentaries Demi Lovato: Simply Complicated (2017) and Demi Lovato: Dancing with the Devil (2021).","American singer, songwriter, and actress; Came into prominence with her role in the musical television film Camp Rock; Released multiple albums debuting in top spots on U.S. Billboard 200 including pop rock and R&B; Served as a judge on The X Factor USA and starred in sitcoms like Sonny with a Chance; Sold over 24 million records in the US and received numerous accolades including an MTV Video Music Award and 14 Teen Choice Awards."
Julia Michaels,"Julia Carin Michaels (née Cavazos; born November 13, 1993) is an American singer and songwriter. She has received five Grammy Award nominations, two of which were for Song of the Year and also for Best New Artist, as well as nominations from MTV Video Music Awards, Billboard Music Awards, and American Music Awards.
Born in Iowa and raised in California, Michaels began her career writing for other artists at the age of 16. Following her success as a writer, she signed to Republic Records in 2016 and released her debut single as a recording artist: ""Issues"" the following year, which peaked at number 11 on the Billboard Hot 100 and was certified quintuple-platinum by the Recording Industry Association of America (RIAA). Her debut major-label extended play, Nervous System was released in 2017 and peaked at number 48 on the Billboard 200 chart. Her debut studio album, Not in Chronological Order was released in 2021 to positive reception despite commercial failure. She has since toured alongside Maroon 5, Keith Urban, and Niall Horan and has appeared on the UK top 20 with hits ""If the World Was Ending"" with JP Saxe and ""I Miss You"" with Clean Bandit.
As a songwriter, Michaels has written songs for artists including Selena Gomez, Demi Lovato, Fifth Harmony, Shawn Mendes, Britney Spears, Justin Bieber, Hailee Steinfeld, and Gwen Stefani. She has earned two Billboard Hot 100 number one songs with Bieber's ""Sorry"" and Gomez's ""Lose You to Love Me"".

","American singer and songwriter; Received five Grammy Award nominations, including Song of the Year and Best New Artist; Successful career as a songwriter for acclaimed artists like Selena Gomez, Justin Bieber, Britney Spears; Notable singles include ""Issues"", ""If the World Was Ending"" and ""I Miss You""; Toured with Maroon 5, Keith Urban, and Niall Horan."
Alessia Cara,"Alessia Caracciolo (born July 11, 1996), known professionally as Alessia Cara (), is a Canadian singer and songwriter. She began posting covers of songs on YouTube at age 13. After uploading acoustic covers of songs such as ""Love Yourself"" and ""Sweater Weather"" online, she signed with EP Entertainment and Def Jam Recordings in 2014 and released her debut single, ""Here"", the following year. It peaked at number 19 on the Canadian Hot 100 chart and was a sleeper hit in the US, peaking at number 5 on the Billboard Hot 100 chart.Cara's debut studio album, Know-It-All (2015), peaked at number 8 on the Canadian Albums Chart and at number 9 on the Billboard 200. The album's third single, ""Scars to Your Beautiful"", peaked at number 8 on the Billboard Hot 100 in 2016. In 2017, Cara collaborated with DJ and producer Zedd on the single ""Stay"", which is certified seven-times platinum in Canada, and featured alongside Khalid on rapper Logic's song ""1-800-273-8255"".
Cara has received nominations for four Grammy Awards, winning the Best New Artist in 2018. She was nominated for Song of the Year and Record of the Year at the 2019 Latin Grammys for her collaboration with Juanes on ""Querer Mejor"". Her second studio album, The Pains of Growing (2018), saw the moderate commercial success of the singles ""Growing Pains"" and ""Trust My Lonely"". The album won Juno Award for Album of the Year and Juno Award for Pop Album of the Year while she went on to win Juno Award for Songwriter of the Year. Her third album, In the Meantime (2021), was met with generally positive reviews from critics.

","Canadian singer and songwriter; began career by posting covers on YouTube; signed with EP Entertainment and Def Jam Recordings in 2014; ""Here"" and ""Scars to Your Beautiful"" were significant hits; Grammy award winner (Best New Artist in 2018)."
P!nk,"Alecia Beth Moore Hart (born September 8, 1979), known professionally as Pink (stylized as P!nk), is an American singer, songwriter and actress.
During her teens, Pink was a member of the girl group Choice. Her first solo studio album, Can't Take Me Home (2000), was certified double-platinum in the United States. The R&B-influenced album spawned two Billboard Hot 100 top-ten songs: ""There You Go"" and ""Most Girls"". Pink gained further recognition with the collaborative single ""Lady Marmalade"" from the Moulin Rouge! soundtrack, which topped many charts worldwide. Pink refocused her sound to pop rock with her second studio album, Missundaztood (2001). The album sold more than 13 million copies worldwide and yielded the international hit songs ""Get the Party Started"", ""Don't Let Me Get Me"", and ""Just Like a Pill"".
Pink's third studio album, Try This (2003), sold significantly less than her second studio album, but earned her the Grammy Award for Best Female Rock Vocal Performance. She returned to the top of the charts with her fourth and fifth studio albums, I'm Not Dead (2006) and Funhouse (2008), which spawned the top-ten entries ""Who Knew"" and ""U + Ur Hand"" as well as the number-one single ""So What"". Pink's sixth studio album, The Truth About Love (2012), was her first Billboard 200 number-one album and spawned her fourth US number-one single, ""Just Give Me a Reason"". In 2014, Pink recorded a collaborative album, Rose Ave., with Canadian musician Dallas Green as the folk music duo You+Me. Her next studio albums, Beautiful Trauma (2017) and Hurts 2B Human (2019), both debuted at atop the Billboard 200 chart, with the former becoming the world's third best-selling album of the year. Her ninth and most recent studio album, Trustfall (2023), peaked at number 2 in the U.S.
Pink has been described as ""pop royalty"" for her distinctive raspy voice and acrobatic stage presence. She has sold over 135 million records worldwide (60 million albums and 75 million singles), making her one of the world's best-selling music artists. Her accolades include three Grammy Awards, two Brit Awards, a Daytime Emmy Award and seven MTV Video Music Awards (including the Michael Jackson Video Vanguard Award). In 2009, Billboard named Pink the Pop Songs Artist of the Decade. Pink was also the second-most-played female solo artist in the United Kingdom during the 2000s decade, behind only Madonna. VH1 ranked her 10th on its list of the 100 Greatest Women in Music, while Billboard gave her the Woman of the Year award in 2013. At the 63rd annual BMI Pop Awards, she received the BMI President's Award for ""her outstanding achievement in songwriting and global impact on pop culture and the entertainment industry.""

","American singer, songwriter, and actress; Known for her distinctive raspy voice and acrobatic stage presence; Has sold over 135 million records worldwide; Accolades include three Grammy Awards, two Brit Awards, and a Daytime Emmy Award; Recognized by Billboard as the Pop Songs Artist of the Decade in 2009."
Dua Lipa,"Dua Lipa (  DOO-ə LEE-pə, Albanian: [ˈdua ˈlipa]; born (1995-08-22)22 August 1995) is an  English and Albanian singer, songwriter and actress. Her mezzo-soprano vocal range and disco-influenced production have received critical acclaim and media coverage. She has received numerous accolades throughout her career including six Brit Awards, three Grammy Awards, and two Guinness World Records. She was included on the Time 100 Next list in 2021.
Lipa worked as a model before signing a recording contract with Warner Bros. Records in 2014. She rose to prominence with her eponymous debut album in 2017, which peaked at number three on the UK Albums Chart and spawned the successful singles ""Be the One"", ""IDGAF"", and the UK number-one single ""New Rules"". Lipa was honoured with the Brit Awards for British Female Solo Artist and British Breakthrough Act. Her second chart-topping single, ""One Kiss"" with Calvin Harris, was the longest-running number-one single by a female artist in 2018 and won the Brit Award for Song of the Year. In 2019, Lipa won the Grammy Award for Best New Artist, as well as the Grammy Award for Best Dance Recording for ""Electricity"", her collaborative single with Silk City.
Lipa's second album, Future Nostalgia (2020), became her first UK number-one album, and won the Brit Award for British Album of the Year and the Grammy Award for Best Pop Vocal Album. Its lead single, ""Don't Start Now"", was the year's most commercially successful song by a female artist in the US; ranking in the top-ten of the Billboard Hot 100 year-end chart. The album's success continued with the follow-up singles, ""Physical"", ""Break My Heart"", as well as ""Levitating"", which topped the Year-End Hot 100 chart of 2021. Both of Lipa's albums are the most-streamed female albums on Spotify, with over 10 billion streams each. Lipa subsequently scored her third and fourth UK number-one singles, with the 2021 Elton John duet ""Cold Heart (Pnau remix)"" and ""Dance the Night"" from the soundtrack of the film Barbie (2023), where she also made her acting debut.

","Dua Lipa is an English and Albanian singer, songwriter, and actress; She has received critical acclaim for her mezzo-soprano vocal range and disco-influenced production; She has numerous accolades including six Brit Awards, three Grammy Awards, and two Guinness World Records; Her debut album in 2017, and second album ""Future Nostalgia"" won several awards and both are the most-streamed female albums on Spotify; She made her acting debut in the film Barbie in 2023."
Clean Bandit,"Clean Bandit are an English electronic music group, formed in Cambridge in 2008. They have had four number 1 hits and ten top 10 hits on the UK Singles Chart. They direct and produce their own music videos, many of which have been nominated for Brit Awards and VMAs, while two of them, ""Symphony"" and ""Rockabye"", each have over 1 billion views on YouTube, with Rockabye having reached over 2.7 billion views. The group currently consists of founder Grace Chatto and brothers Jack and Luke Patterson. Jack Patterson is the principal songwriter and has been awarded two Ivor Novellos for the writing of ""Rather Be"". Many of their projects are known for blending elements of both classical and dance music, and featuring guest vocalists. Notable collaborators include Marina, Demi Lovato, Jess Glynne, Anne-Marie, Sean Paul, Zara Larsson, Julia Michaels, Luis Fonsi, Ellie Goulding, Iann Dior, Mabel, and Lizzo.
The band released their debut single ""A+E"" in 2012, followed by their 2013 single ""Mozart's House"", the latter of which reached number 17 on the UK Singles Chart. In January 2014, they scored their first UK chart topping single with ""Rather Be"", a collaboration with Jess Glynne. The song also reached number 10 on the US Billboard Hot 100. In 2015, the song won the Grammy Award for Best Dance Recording. The band's debut album New Eyes was released in June 2014 and has received a gold certification from the BPI. Their 2016 single ""Rockabye"", which features Jamaican artist Sean Paul and singer Anne-Marie, became their second number one hit in the UK and the Christmas number one single for 2016. The song became an international chart topper for the band, additionally charting at number nine in the US. ""Symphony"" featuring Zara Larsson became their third UK number one single in 2017. Their second album, What Is Love?, was released in November 2018. As of 2016, Clean Bandit have sold over 13 million singles and 1.6 million albums worldwide.","English electronic music group; Four number 1 and ten top 10 hits on UK Singles Chart; Directs and produces own music videos, several nominated for Brit Awards and VMAs; Blends elements of classical and dance music, collaborates with various artists; Sold over 13 million singles and 1.6 million albums worldwide."
Rita Ora,"Rita Sahatçiu Ora (Albanian: [ˈɾita sahatˈtʃiu ˈɔɾa]; born Rita Sahatçiu; 26 November 1990) is a British singer and songwriter. She rose to prominence in February 2012 when she featured on DJ Fresh's single, ""Hot Right Now"", which reached number one in the UK. Her debut studio album, Ora, released in August 2012, debuted at number one in the United Kingdom. The album contained the UK number-one singles, ""R.I.P."" and ""How We Do (Party)"". Ora was the artist with the most number-one singles on the UK Singles Chart in 2012, with three singles reaching the top position.Born in Pristina, modern-day Kosovo, Ora was named an Honorary Ambassador of Kosovo in 2015. Ora's second studio album, Phoenix, was released in November 2018. The lead single, ""Your Song"", reached the UK top ten, and the subsequent singles, ""Anywhere"" and ""Let You Love Me"", reached the top five in the UK. ""Let You Love Me"" made Ora the first British female solo artist to have thirteen top ten songs in the United Kingdom. She released her third studio album, You & I, in July 2023.","British singer and songwriter; Rose to prominence with DJ Fresh's single, ""Hot Right Now""; Debut studio album, Ora, contained three UK number-one singles; Honorary Ambassador of Kosovo; First British female solo artist to have thirteen top ten songs in the UK."
Justin Timberlake,"Justin Randall Timberlake (born January 31, 1981) is an American singer, songwriter, record producer, and actor. He is one of the world's best-selling music artists, with sales of over 88 million records. Timberlake is the recipient of numerous awards and accolades, including ten Grammy Awards, four Primetime Emmy Awards, three Brit Awards, nine Billboard Music Awards, the Contemporary Icon Award by the Songwriters Hall of Fame, and the Michael Jackson Video Vanguard Award. According to Billboard, he is the best performing male soloist in the history of the Mainstream Top 40.
Born and raised in Memphis, Tennessee, he appeared on TV shows as a child, before rising to prominence in the late 1990s as a lead vocalist for the boy band NSYNC. The group released 4 commercially successful studio albums and eventually became one of the best-selling boy bands of all time, with 70 million records sold. Timberlake's debut solo album, Justified (2002), yielded his first solo hit singles, ""Cry Me a River"" and ""Rock Your Body"". His critically acclaimed second album, FutureSex/LoveSounds (2006), debuted atop the US Billboard 200 and spawned three consecutive Billboard Hot 100 number-one singles – ""SexyBack"" (featuring Timbaland), ""My Love"" (featuring T.I.) and ""What Goes Around... Comes Around"". Established as a solo artist worldwide, his first two albums both exceeded sales of 10 million copies and received 3× platinum certification by the RIAA. Concurrently, Timberlake collaborated with other artists on a string of successful songs, including The Lonely Island's viral hit ""Dick in a Box"" in 2006, his fourth US number-one single with Timbaland's ""Give It to Me"" in 2007, as well as Madonna's ""4 Minutes"", 50 Cent's ""Ayo Technology"" and T.I.'s ""Dead and Gone"" in the following years.
From 2008 through 2012, Timberlake paused his musical career to focus on his acting, holding starring roles in the films The Love Guru (2008), The Social Network (2010), Bad Teacher (2011), Friends with Benefits (2011), and In Time (2011). He resumed his recording career in 2013 with his third and fourth albums, The 20/20 Experience and The 20/20 Experience – 2 of 2; both albums topped the Billboard 200 and spawned the Hot 100 top-ten singles ""Suit & Tie"" (featuring Jay-Z), ""Mirrors"", and ""Not a Bad Thing""; the former album became the best-selling album of the year. Timberlake voiced the character Branch in the DreamWorks Animation's Trolls franchise (2016–2023); the soundtrack for the first film included his fifth US number-one single, ""Can't Stop the Feeling!"", which earned him an Academy Award nomination. His fifth studio album, Man of the Woods (2018), became his fourth number-one album in the US. Supported by two top ten singles, ""Filthy"" and ""Say Something"" (featuring Chris Stapleton), it concluded 2018 as the sixth best-selling album of the year.","American singer, songwriter, record producer, and actor; One of the world's best-selling music artists with over 88 million records sold; Recipient of numerous awards, including ten Grammy Awards and the Michael Jackson Video Vanguard Award; Successful acting career with starring roles in several films; Former lead vocalist for the boy band NSYNC."
Anne-Marie,"Anne-Marie Rose Nicholson (born 7 April 1991) is an English singer-songwriter. She has attained charting singles on the UK Singles Chart, including Clean Bandit's ""Rockabye"", which peaked at number one, as well as ""Alarm"", ""Ciao Adios"", ""Friends"", ""2002"", ""Don't Play"" and ""Kiss My (Uh-Oh)"". Her debut studio album, Speak Your Mind, was released in 2018 and peaked at number three on the UK Albums Chart. In 2021, she released her second studio album, Therapy followed by her third studio album, Unhealthy, in 2023. Both albums peaked at number two on the UK Albums Chart.
Anne-Marie was nominated for four awards at the 2019 Brit Awards, including Best British Female Solo Artist. To date she has been nominated for ten Brit Awards and has also received a nomination for a Billboard Music Award. In 2015, she signed a record deal with Asylum (a sub-label of Atlantic Records) and began releasing her work through the label. Anne-Marie began appearing as a coach on the television singing competition The Voice UK in 2021.

","English singer-songwriter; Known for charting singles such as ""Rockabye"", ""Alarm"", and ""Friends""; Debut album 'Speak Your Mind' peaked at number three on UK Albums Chart; Nominated for four awards at the 2019 Brit Awards, including Best British Female Solo Artist; Coach on The Voice UK since 2021."
Hannah Montana,"Hannah Montana (titled Hannah Montana Forever for the fourth and final season) is an American teen sitcom created by Michael Poryes, Rich Correll and Barry O'Brien that aired on Disney Channel for four seasons between March 2006 and January 2011. The series centers on Miley Stewart (Miley Cyrus), a teenage girl living a double life as famous pop singer Hannah Montana, an alter ego she adopted so she could maintain her anonymity and live a normal life as a typical teenager. Episodes deal with Miley's everyday struggles to cope with the social and personal issues of adolescence while maintaining the added complexities of her secret identity, which she sustains by wearing a blonde wig. Miley has strong relationships with her brother Jackson (Jason Earles) and father Robby Ray (Billy Ray Cyrus), as well as her best friends Lilly Truscott (Emily Osment) and Oliver Oken (Mitchel Musso), who become aware of her secret. Overarching themes include a focus on family and friendships as well as the importance of music and discovering one's identity.
The Walt Disney Company commissioned the series after the success of Disney Channel's previous music-based franchises, such as the made-for-television film High School Musical (2006). Hannah Montana was produced by It's a Laugh Productions in association with Poryes's production company, and premiered on Disney Channel on March 24, 2006. A concert film, Hannah Montana & Miley Cyrus: Best of Both Worlds Concert, in which Miley Cyrus performs as Hannah Montana and herself, was released in 2008. The following year, the feature film Hannah Montana: The Movie was released. The series concluded on January 16, 2011, as a result of Cyrus's growing popularity and music career, and her desire to move into more mature acting roles.
Hannah Montana is one of Disney Channel's most commercially successful franchises. It received consistently high viewership in the United States on cable television and influenced the development of merchandise, soundtrack albums, and concert tours; however, television critics disliked the writing and depiction of gender roles and stereotypes. Hannah Montana helped launch Cyrus's musical career and established her as a teen idol; after Cyrus began developing an increasingly provocative public image, commentators criticized Hannah Montana as having a negative influence on its audience. The series was nominated for four Primetime Emmy Awards for Outstanding Children's Program between 2007 and 2010; Cyrus won a Young Artist Award for Best Performance in a TV Series, Leading Young Actress in 2008.","Hannah Montana is an American teen sitcom with strong popularity and commercial success; Miley Cyrus plays the titular role, a teenage girl living a double life as a famous pop singer; Themes focus on family, friendship, the importance of music, and self-discovery; A concert film and feature film were released based on the series; Series contributed significantly to Miley Cyrus's music career and established her as a teen idol."
